k,head,program,strategy,increase,kl_div,spike
219,"(9, 12)",sentence_beginning_salience,smart,8.278660332567748,0.5462082266807556,False
220,"(14, 9)",sentence_beginning_salience,smart,7.764361906463843,0.5406966120004654,False
221,"(10, 24)",sentence_beginning_salience,smart,8.297191922314829,0.5288796305656434,False
222,"(0, 0)",contextual_anchoring,smart,8.132618597011112,0.5252795904874802,False
223,"(18, 10)",sentence_beginning_salience,smart,8.01849204125857,0.5216748952865601,False
224,"(14, 29)",initial_token_reference_attention,smart,8.002201765324571,0.5231120675802231,False
225,"(19, 27)",initial_token_reference_attention,smart,8.255197613917057,0.5330368399620056,False
226,"(11, 20)",sentence_beginning_salience,smart,8.247932292897733,0.5396943479776383,False
227,"(7, 30)",initial_token_reference_attention,smart,7.612311868982042,0.5308448910713196,False
228,"(3, 17)",sentence_beginning_salience,smart,7.867581160177231,0.5598139703273773,False
229,"(4, 10)",sentence_beginning_salience,smart,8.540427280019667,0.5802764177322388,False
230,"(5, 7)",sentence_beginning_salience,smart,9.227465996552244,0.5765126705169678,False
231,"(12, 0)",initial_token_reference_attention,smart,9.182221028704415,0.579992339015007,False
232,"(3, 8)",sentence_beginning_salience,smart,9.408905976060998,0.5901799172163009,False
233,"(10, 8)",sentence_beginning_salience,smart,9.311384069170394,0.5861025929450989,False
234,"(3, 27)",sentence_beginning_salience,smart,9.805830963708825,0.6132661670446395,False
235,"(6, 18)",sentence_beginning_salience,smart,10.477196922634732,0.6414219379425049,False
236,"(16, 10)",sentence_beginning_salience,smart,9.842876319917574,0.6663330018520355,False
237,"(20, 21)",sentence_beginning_salience,smart,9.95656139343361,0.6735729694366455,False
238,"(16, 31)",sentence_beginning_salience,smart,10.393899607564043,0.6561093717813492,False
239,"(13, 29)",sentence_beginning_salience,smart,10.77447577541122,0.6523944556713104,False
240,"(4, 1)",sentence_beginning_salience,smart,11.116358067099906,0.6474468946456909,False
241,"(0, 14)",sentence_position_preference,smart,14.858783976479566,0.6496822714805603,False
242,"(5, 6)",initial_token_reference_attention,smart,14.656629459727373,0.6342351198196411,False
243,"(6, 29)",sentence_beginning_salience,smart,14.374970848106518,0.6356738835573197,False
244,"(3, 30)",sentence_beginning_salience,smart,14.186250442809216,0.6450577288866043,False
245,"(12, 20)",sentence_beginning_salience,smart,14.0713017945985,0.655924066901207,False
246,"(3, 26)",sentence_beginning_salience,smart,15.089330586104404,0.661099773645401,False
247,"(3, 14)",sentence_beginning_salience,smart,15.329755624975622,0.682221281528473,False
248,"(7, 18)",initial_token_reference_attention,smart,15.205313012841918,0.6848690658807755,False
249,"(5, 27)",sentence_beginning_salience,smart,15.151273579772004,0.6637771487236023,False
250,"(3, 10)",sentence_beginning_salience,smart,16.12114221948518,0.6963475733995438,False
